CP000819.1	547702	549810	CP000819.1	548866	549082	ID=gene-ECB_00506;Name=ybcR;gbkey=Gene;gene=ybcR;gene_biotype=protein_coding;locus_tag=ECB_00506
CP000819.1	547702	549810	CP000819.1	549081	549579	ID=gene-ECB_00507;Name=ybcS;gbkey=Gene;gene=ybcS;gene_biotype=protein_coding;locus_tag=ECB_00507
CP000819.1	547702	549810	CP000819.1	549575	550037	ID=gene-ECB_00508;Name=ybcT;gbkey=Gene;gene=ybcT;gene_biotype=protein_coding;locus_tag=ECB_00508
CP000819.1	549963	553353	CP000819.1	549575	550037	ID=gene-ECB_00508;Name=ybcT;gbkey=Gene;gene=ybcT;gene_biotype=protein_coding;locus_tag=ECB_00508
CP000819.1	549963	553353	CP000819.1	550068	550362	ID=gene-ECB_00509;Name=ybcU;gbkey=Gene;gene=ybcU;gene_biotype=protein_coding;locus_tag=ECB_00509
CP000819.1	549963	553353	CP000819.1	550722	550917	ID=gene-ECB_00510;Name=ECB_00510;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00510
CP000819.1	549963	553353	CP000819.1	551305	551881	ID=gene-ECB_00511;Name=nohB;gbkey=Gene;gene=nohB;gene_biotype=protein_coding;locus_tag=ECB_00511
CP000819.1	549963	553353	CP000819.1	551840	554657	ID=gene-ECB_00512;Name=ECB_00512;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00512
CP000819.1	554669	554990	CP000819.1	554715	557061	ID=gene-ECB_00513;Name=ECB_00513;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00513
CP000819.1	555053	557735	CP000819.1	557057	557339	ID=gene-ECB_00514;Name=ECB_00514;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00514
CP000819.1	555053	557735	CP000819.1	557348	558053	ID=gene-ECB_00515;Name=ECB_00515;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00515
CP000819.1	555053	557735	CP000819.1	554715	557061	ID=gene-ECB_00513;Name=ECB_00513;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00513
CP000819.1	557922	558316	CP000819.1	557348	558053	ID=gene-ECB_00515;Name=ECB_00515;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00515
CP000819.1	557922	558316	CP000819.1	558063	558357	ID=gene-ECB_00516;Name=ECB_00516;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECB_00516
